avgIncome0,avgIncome1,avgIncome2,avgIncome3,avgIncome4,i,iris,medianIncome0,medianIncome1,medianIncome2,medianIncome3,medianIncome4,year
36179.838,32968.9447,40029.5365,27689.5261,31466.3795,20,751020701,26133.403,14356.2797,36274.6777,20939.2216,16168.6387,09
22804.5496,37972.2056,36567.3388,21695.1051,33824.3812,20,751020701,11102.4144,10069.0756,23702.332,17970.7455,22414.1016,01
39576.8092,77509.884,24496.8809,25909.6336,26162.4227,20,751020701,15452.6464,22307.5189,15007.5771,25449.4759,5894.6628,04
38138.9219,43376.6772,40222.1105,30254.2345,43232.1287,20,751020701,21227.5415,15487.1819,33958.8094,23229.2254,24987.244,10
49158.8044,30545.755,31700.2418,37957.5582,171237.9017,20,751020701,19873.809,13955.7514,26431.6815,37492.7742,51539.4169,11
200320.8078,24817.5979,92808.6431,103511.025,37841.5349,20,751020701,46587.5163,16724.783,36123.9964,25778.6139,36849.0864,08
35865.9561,26008.6734,38793.7485,15660.6933,63161.8109,20,751020701,28108.6598,13805.642,33687.5985,8336.0489,31662.7681,06
15961.27,14006.9441,24651.4035,72892.3347,206899.4588,20,751020701,7838.8484,9030.735,23152.9494,42142.2801,40040.7052,02
23077.183,35153.1415,34034.3269,28260.1835,20201.5698,20,751020701,16593.4783,15593.424,18012.615,27516.0348,10277.3955,05
13472.2548,33123.6336,38427.9307,27380.2053,21521.9245,20,751020701,11461.5236,14050.045,35146.7668,24175.0879,19119.0061,07
